hand,flop5,reach,solver_F_pct,candidate_F_pct,solver_C_pct,candidate_C_pct,solver_R_pct,candidate_R_pct,source_loss_bb,oracle_regret_bb,p99_oracle_regret_bb,max_oracle_regret_bb
OESD,[9-2]xx,45983.00924,0.0030144319879444235,0.0,43.09267162380032,50.0,56.90431430134274,50.0,0.0009233794365937475,0.00632142065044077,0.039071500000000016,0.1353900000000003
Gutshot,ABB,55895.18479,38.086594065543125,40.348017015653205,48.23688787977319,59.6519829843468,13.676520720229217,0.0,-0.0001281294214584979,0.005735679222376893,0.0741869,0.1673280000000001
Gutshot,Axx,124950.11876,14.893104489235093,0.0,54.968994560934036,100.0,30.13790028327672,0.0,0.007516234507613004,0.011905965118077691,0.2610092,0.515834
Gutshot,BBB,36953.88784,57.676423069962155,56.28189972879454,37.9545208590001,43.71810027120545,4.369056781851995,0.0,0.011463134308543448,0.014368888381403553,0.5174915,0.6244984
Gutshot,Bxx,441447.171006,14.998725764832761,0.0,51.11438980376359,50.0,33.88688477290712,50.0,0.05379975211125835,0.05727542075959717,1.02756635,1.76049175
Gutshot,[9-2]xx,113069.130071,4.476230534227517,0.0,50.38964411416251,100.0,45.134124299348194,0.0,0.009735878457207017,0.013896517953049794,0.4603828,0.7918564
2 overcards + BDFD,Bxx,8426.65785,5.53271544067735e-08,0.0,71.72273686740527,50.0,28.277262735419832,50.0,0.01252260601911535,0.015459308861637771,0.16068100000000002,0.18591799999999994
2 overcards + BDFD,[9-2]xx,57496.816263,29.505663051665096,34.7686705548328,52.63611801999931,65.2313294451672,17.85821969425122,0.0,0.008921073831860993,0.013296141316170847,0.21521300000000002,0.47884099999999996
Air,ABB,43917.9001,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air,Axx,459458.27191,99.18684231515468,100.0,0.7640394490579865,0.0,0.049118247658452525,0.0,0.0003084225885045505,0.0005297269126851163,0.0127562,0.417464
Air,BBB,21782.1204,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air,Bxx,1644828.30844,88.04253548919803,98.68905490686436,10.236278516270312,1.310945093135632,1.7211860288906675,0.0,0.006119644528049855,0.006928902790488465,0.19945600000000002,0.693785
Air,[9-2]xx,452923.921841,73.83722690960066,97.37415878992255,23.511710789725463,2.6258412100774597,2.651062022045401,0.0,0.020559531756292583,0.022063880514187804,0.317812,0.45441200000000004
