flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
BBB,OESD,3,32,1412.8386759999999,0.40878413888888887,0.591215861111111,X/B,0.007315412905681032,0.14315999999999995
BBB,Two pair+,4,214,15194.324879999995,0.5179098805352329,0.4820901111739508,X/B,0.0017536721265632624,0.06439000000000021
BBB,Third pair,4,99,6022.746808000003,0.863801196031746,0.1361987956349206,X,0.00036448448452680793,0.027780711869999662
BBB,Second pair,4,108,7395.314339999997,0.8533197499999999,0.14668025,X,0.00019123365724731963,0.003868849660000251
BBB,Overpair,4,30,2451.2039999999997,0.4846220208333334,0.5153779375,X/B,0.0006276850337052313,0.002192713619999864
BBx,Weak pair,47,2166,111056.84255999983,0.6897486829407293,0.3102513192685467,X,0.002030890416314041,0.09237778287999987
BBx,Air,47,2280,135051.92442399988,0.6866480052888306,0.31335199181921797,X,0.004437067219102984,0.0697299526
BBx,Top pair,47,2070,150114.29145999983,0.7460154869020302,0.25398451384142046,X,0.0018337696331178163,0.04134276588000034
BBx,Third pair,47,429,19402.790107999994,0.3770485066193854,0.6229514984633571,X/B,0.01811706346411327,0.13060499999999992
BBx,Gutshot,47,1876,144604.02302000026,0.4867940947399528,0.5132059053970558,X/B,0.0014124397399135878,0.10460649999999996
BBx,Two pair+,47,935,61728.24346200003,0.2014540687946145,0.7985459278989994,B,0.00134314594174403,0.09732487703999979
BBx,Second pair,47,1590,99140.72383999982,0.8435065260721545,0.1564934674849579,X,0.00037020839835854566,0.05789901569999998
BBx,Overpair,47,462,39297.55800000001,0.40027705555555554,0.5997229609929079,X/B,0.0010844173848174013,0.007888550859999555
BBx,OESD,46,816,49957.46234000003,0.4746455235960146,0.525354486820652,X/B,0.0006095368849915504,0.03079934255000012
BBB,Underpair,1,6,509.50500000000005,0.9226266666666668,0.07737333333333332,X,0.0,0.0
BBx,Underpair,24,192,16877.988,0.9101811944444442,0.08981880902777774,X,0.00012634026543884187,0.0016518046999998148
K/Qx con,Weak pair,12,252,4729.634480000011,0.8041566041666667,0.19584339074074075,X,0.00021760644371838562,0.03437634823699991
K/Qx con,Air,14,1635,117927.24078999988,0.7631228155977716,0.23687718070066244,X,0.003064348731230913,0.04257128568599997
K/Qx con,Gutshot,14,232,12862.056489999995,0.3614054034780579,0.6385945930497199,X/B,0.0040996139267162005,0.13342999999999988
K/Qx con,Top pair,14,768,55064.17267,0.7420309576829417,0.2579690432467285,X,0.0031177971767732413,0.0396551180000003
K/Qx con,OESD,14,76,2356.5740000000005,0.38340958035714284,0.6165904107142856,X/B,0.0012674651031551784,0.04397999999999982
K/Qx con,Third pair,14,96,4854.563218,0.7785156587301587,0.22148436706349212,X,0.0004754539108920478,0.06635184963999982
K/Qx con,Two pair+,14,170,9834.882069999989,0.4543683912192383,0.5456316152742683,X/B,0.010746228071633774,0.15774999999999864
K/Qx con,Second pair,14,120,6174.636034000004,0.7102900999999999,0.2897098761904762,X,0.0003897747220702626,0.006959206799999862
K/Qx con,Underpair,14,462,39156.946400000015,0.8184681247779668,0.18153186930272108,X,0.0005494404489857568,0.009378836040000494
