"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","donk_frequency","ev_check","ev_donk","mixed_ev"
"As Kh Td","3","BB_FIRST","BB","TcQc","78.87","0.996973","0.003027","3.1146","1.96493","3.11111994891"
"As Kh Td","3","BB_FIRST","BB","TcQd","52.787","0.999879","0.000121","3.46177","2.67511","3.4616748141399998"
"As Kh Td","3","BB_FIRST","BB","TcQh","52.4661","0.998943","0.001057","3.33699","2.71761","3.33633531534"
"As Kh Td","3","BB_FIRST","BB","TcQs","52.4661","0.999379","0.000621","3.37773","2.77356","3.37735481043"
"As Kh Td","3","BB_FIRST","BB","TcKc","97.1885","0.999311","0.000689","37.4817","36.6358","37.481117174899993"
"As Kh Td","3","BB_FIRST","BB","TcKd","25.7353","1","0","38.3757","36.3787","38.3757"
"As Kh Td","3","BB_FIRST","BB","TcKs","25.6187","1","0","37.697","35.4277","37.697"
"As Kh Td","3","BB_FIRST","BB","TcAc","84.2496","0.998954","0.001046","50.268","49.3221","50.2670105886"
"As Kh Td","3","BB_FIRST","BB","TcAd","136.833","0.999389","0.000611","50.9954","49.4158","50.994434864399992"
"As Kh Td","3","BB_FIRST","BB","TcAh","136.833","1","0","50.9065","47.7393","50.9065"
"As Kh Td","3","BB_FIRST","BB","ThTs","127.803","0.999994","6E-06","94.7864","91.7608","94.7863818464"
"As Kh Td","3","BB_FIRST","BB","ThJc","49.833","0.99991","9E-05","2.47514","1.58574","2.475059954"
"As Kh Td","3","BB_FIRST","BB","ThJd","50.153","0.99997","3E-05","2.79159","1.79893","2.7915602202"
"As Kh Td","3","BB_FIRST","BB","ThJh","112.531","0.999399","0.000601","8.805","7.36838","8.80413659138"
"As Kh Td","3","BB_FIRST","BB","ThJs","49.833","0.999705","0.000295","2.73227","1.85619","2.7320115564000003"
"As Kh Td","3","BB_FIRST","BB","ThQc","52.6993","0.997447","0.002553","3.47049","2.52985","3.4680885460799997"
"As Kh Td","3","BB_FIRST","BB","ThQd","53.0203","0.999584","0.000416","3.65834","2.90533","3.65802674784"
"As Kh Td","3","BB_FIRST","BB","ThQh","79.2185","0.999836","0.000164","9.99942","6.68867","9.998877037"
"As Kh Td","3","BB_FIRST","BB","ThQs","52.6993","0.998191","0.001808","3.52193","2.97325","3.5209344646300003"
"As Kh Td","3","BB_FIRST","BB","ThKc","25.7353","1","0","38.1724","36.376","38.1724"
"As Kh Td","3","BB_FIRST","BB","ThKd","25.8519","1","0","38.8482","36.4335","38.8482"
"As Kh Td","3","BB_FIRST","BB","ThKs","25.7353","1","0","38.295","34.9464","38.295"
"As Kh Td","3","BB_FIRST","BB","ThAc","137.479","0.999884","0.000116","51.3487","49.7046","51.3485092844"
"As Kh Td","3","BB_FIRST","BB","ThAd","137.479","0.999999","1E-06","52.1636","50.0232","52.1635978596"
"As Kh Td","3","BB_FIRST","BB","ThAh","84.6475","0.999985","1.5E-05","58.1279","55.8012","58.1278650995"
"As Kh Td","3","BB_FIRST","BB","TsJc","49.6134","0.999925","7.5E-05","2.51201","1.65847","2.5119459845"
"As Kh Td","3","BB_FIRST","BB","TsJd","49.9334","0.999989","1.1E-05","2.81627","1.87822","2.81625968145"
"As Kh Td","3","BB_FIRST","BB","TsJh","49.6134","0.999792","0.000209","2.6886","1.91553","2.6884411169700004"
"As Kh Td","3","BB_FIRST","BB","TsJs","112.038","0.997742","0.002258","9.59687","8.75599","9.59497129296"
"As Kh Td","3","BB_FIRST","BB","TsQc","52.4661","0.999355","0.000645","3.52236","2.59727","3.52176331695"
"As Kh Td","3","BB_FIRST","BB","TsQd","52.787","0.999978","2.2E-05","3.71573","2.96568","3.7157134989000009"
"As Kh Td","3","BB_FIRST","BB","TsQh","52.4661","0.999244","0.000756","3.63704","3.01182","3.63656733368"
"As Kh Td","3","BB_FIRST","BB","TsQs","78.87","0.999995","5E-06","10.6945","8.04515","10.69448675325"
"As Kh Td","3","BB_FIRST","BB","TsKc","25.6187","1","0","38.095","35.8974","38.095"
"As Kh Td","3","BB_FIRST","BB","TsKd","25.7353","1","0","38.7122","35.7059","38.7122"
"As Kh Td","3","BB_FIRST","BB","TsKs","97.1885","0.998118","0.001882","45.9823","44.9001","45.9802632996"
"As Kh Td","3","BB_FIRST","BB","TsAc","136.833","0.999443","0.000557","50.4736","49.3115","50.4729527103"
"As Kh Td","3","BB_FIRST","BB","TsAd","136.833","0.999477","0.000523","51.2867","49.7928","51.2859186903"
"As Kh Td","3","BB_FIRST","BB","TsAh","136.833","1","0","51.2288","48.0795","51.2288"
"As Kh Td","3","BB_FIRST","BB","JcJd","90.019","0.998861","0.001139","1.20284","0.109261","1.2015944135189998"
"As Kh Td","3","BB_FIRST","BB","JcJh","89.433","0.999304","0.000696","1.14431","0.13689","1.14360883568"
"As Kh Td","3","BB_FIRST","BB","JcJs","89.433","0.995237","0.004763","1.08613","0.118","1.0815187968100002"
"As Kh Td","3","BB_FIRST","BB","JcQc","18.2196","0.998253","0.001747","140.246","137.545","140.241281353"
"As Kh Td","3","BB_FIRST","BB","JcQd","87.7421","0.997955","0.002045","141.827","138.481","141.82015743000002"
"As Kh Td","3","BB_FIRST","BB","JcQh","87.1983","0.998034","0.001966","142.031","138.759","142.024567248"
"As Kh Td","3","BB_FIRST","BB","JcQs","87.1983","0.998385","0.001615","142.34","138.758","142.33421507"
"As Kh Td","3","BB_FIRST","BB","JcKc","35.214","1","0","2.53399","-0.264999","2.53399"
"As Kh Td","3","BB_FIRST","BB","JcKd","126.347","1","0","2.8594","0.321304","2.8594"
"As Kh Td","3","BB_FIRST","BB","JcKs","125.764","1","0","3.08912","0.659225","3.08912"
"As Kh Td","3","BB_FIRST","BB","JcAc","78.8586","1","0","26.584","23.7644","26.584"
"As Kh Td","3","BB_FIRST","BB","JcAd","140.414","1","0","27.7499","24.3283","27.7499"
"As Kh Td","3","BB_FIRST","BB","JcAh","140.414","1","0","27.7472","24.8283","27.7472"
"As Kh Td","3","BB_FIRST","BB","JdJh","90.019","0.995423","0.004577","1.27583","0.275051","1.271249434517"
"As Kh Td","3","BB_FIRST","BB","JdJs","90.019","0.995842","0.004158","1.227","0.322729","1.223240041182"
"As Kh Td","3","BB_FIRST","BB","JdQc","87.7743","0.997877","0.002123","141.558","138.799","141.552142643"
"As Kh Td","3","BB_FIRST","BB","JdQd","18.4529","0.997542","0.002458","144.127","140.799","144.118819776"
"As Kh Td","3","BB_FIRST","BB","JdQh","87.7743","0.997824","0.002176","143.317","139.835","143.30942316800002"
"As Kh Td","3","BB_FIRST","BB","JdQs","87.7743","0.998081","0.001919","143.599","139.765","143.591642554"
"As Kh Td","3","BB_FIRST","BB","JdKc","126.614","1","0","2.9511","0.440041","2.9511"
"As Kh Td","3","BB_FIRST","BB","JdKd","35.6153","0.996917","0.003083","11.2676","9.11273","11.26095653579"
"As Kh Td","3","BB_FIRST","BB","JdKs","126.614","1","0","3.56005","1.0502","3.56005"
"As Kh Td","3","BB_FIRST","BB","JdAc","141.404","0.998041","0.001959","26.8882","24.2009","26.8829355793"
"As Kh Td","3","BB_FIRST","BB","JdAd","79.4146","0.998859","0.001141","34.2706","32.4081","34.268474887500005"
"As Kh Td","3","BB_FIRST","BB","JdAh","141.404","1","0","28.104","25.1409","28.104"
"As Kh Td","3","BB_FIRST","BB","JhJs","89.433","0.997965","0.002035","1.15512","0.360697","1.153503349195"
"As Kh Td","3","BB_FIRST","BB","JhQc","87.1983","0.998581","0.001419","141.955","138.814","141.95054292100002"
"As Kh Td","3","BB_FIRST","BB","JhQd","87.7421","0.998621","0.001379","143.525","139.477","143.519417808"
"As Kh Td","3","BB_FIRST","BB","JhQh","18.2196","0.998494","0.001506","144.606","141.22","144.600900684"
"As Kh Td","3","BB_FIRST","BB","JhQs","87.1983","0.998661","0.001339","144.001","139.804","143.99538021700002"
"As Kh Td","3","BB_FIRST","BB","JhKc","125.764","1","0","2.47677","-0.036964","2.47677"
"As Kh Td","3","BB_FIRST","BB","JhKd","126.347","1","0","2.88758","0.53426","2.88758"
"As Kh Td","3","BB_FIRST","BB","JhKs","125.764","0.999996","4E-06","3.11063","0.868114","3.110621029936"
"As Kh Td","3","BB_FIRST","BB","JhAc","140.414","0.998982","0.001018","26.7538","23.9296","26.7509249644"
"As Kh Td","3","BB_FIRST","BB","JhAd","140.414","1","0","27.9413","24.5349","27.9413"
"As Kh Td","3","BB_FIRST","BB","JhAh","78.8586","1","0","33.7032","31.9053","33.7032"
"As Kh Td","3","BB_FIRST","BB","JsQc","87.1983","0.998385","0.001615","141.766","138.94","141.76143600999998"
"As Kh Td","3","BB_FIRST","BB","JsQd","87.7421","0.997976","0.002024","143.276","139.539","143.268436312"
"As Kh Td","3","BB_FIRST","BB","JsQh","87.1983","0.998119","0.001881","143.473","139.861","143.466205828"
"As Kh Td","3","BB_FIRST","BB","JsQs","18.2196","0.997963","0.002037","144.524","141.105","144.517035497"
"As Kh Td","3","BB_FIRST","BB","JsKc","125.764","1","0","2.74505","0.034969","2.74505"
"As Kh Td","3","BB_FIRST","BB","JsKd","126.347","1","0","3.15036","0.568686","3.15036"
"As Kh Td","3","BB_FIRST","BB","JsKs","35.214","1","0","12.4115","10.9038","12.4115"
"As Kh Td","3","BB_FIRST","BB","JsAc","140.414","1","0","26.6414","24.0185","26.6414"
"As Kh Td","3","BB_FIRST","BB","JsAd","140.414","1","0","27.8483","24.6788","27.8483"
"As Kh Td","3","BB_FIRST","BB","JsAh","140.414","1","0","27.8605","25.0988","27.8605"
"As Kh Td","3","BB_FIRST","BB","QcKc","9.71335","0.993565","0.006435","6.83368","3.76666","6.8139437263000007"
"As Kh Td","3","BB_FIRST","BB","QcKd","137.508","0.995296","0.004704","7.08278","3.70217","7.06687761056"
"As Kh Td","3","BB_FIRST","BB","QcKs","136.87","0.995996","0.004004","7.22216","4.07156","7.2095449975999992"
"As Kh Td","3","BB_FIRST","BB","QcAc","18.6181","1","0","34.2995","31.6684","34.2995"
"As Kh Td","3","BB_FIRST","BB","QcAd","135.968","1","0","35.3371","30.6001","35.3371"
"As Kh Td","3","BB_FIRST","BB","QcAh","135.968","1","0","35.3314","31.05","35.3314"
"As Kh Td","3","BB_FIRST","BB","QdKc","137.748","0.999965","3.5E-05","7.12418","4.76939","7.1240975823499992"
"As Kh Td","3","BB_FIRST","BB","QdKd","9.82093","0.994476","0.005524","15.4033","12.0833","15.38496032"
"As Kh Td","3","BB_FIRST","BB","QdKs","137.748","1","0","7.72768","4.95442","7.72768"
"As Kh Td","3","BB_FIRST","BB","QdAc","136.878","1","0","34.7124","31.997","34.7124"
"As Kh Td","3","BB_FIRST","BB","QdAd","18.7427","0.99545","0.00455","41.6498","37.7311","41.631969915"
"As Kh Td","3","BB_FIRST","BB","QdAh","136.878","1","0","36.0328","31.4912","36.0328"
"As Kh Td","3","BB_FIRST","BB","QhKc","136.87","0.999079","0.000921","6.74578","4.87331","6.74405545513"
"As Kh Td","3","BB_FIRST","BB","QhKd","137.508","1","0","7.1424","4.8548","7.1424"
"As Kh Td","3","BB_FIRST","BB","QhKs","136.87","1","0","7.29314","5.15282","7.29314"
