flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
BBx,Third pair,47,585,95.93325099999997,0.42723303518620864,0.5727669648137915,F/C,0.3072257082088463,1.4112550000000001
BBx,Air + draw,47,1090,104.25112500000007,0.2916546177302496,0.7083453835629114,C,0.6441626245865202,2.645063
BBx,Second pair,47,1023,36.03478700000005,0.10836275319954423,0.8916372476003686,C,0.15294238710138397,0.9887039
BBx,Two pair+,47,851,102.36595899999998,0.0,1.0,C,0.0,0.0
BBx,A-high + draw,42,875,98.27801099999999,0.38915791698585894,0.6108420771844052,F/C,0.17764201575547228,1.01842
BBx,Weak pair,9,59,2.0176479999999994,0.4200562185185185,0.5799437814814815,F/C,0.9372329863749531,1.34144
BBx,Underpair,3,13,0.145331,0.0,1.0,C,0.0,0.0
BBx,A-high,6,51,0.040487,1.0,0.0,F,0.0,0.0
BBx,Air,4,46,0.034897,1.0,0.0,F,0.0,0.0
K/Qx con,Weak pair,12,59,0.949853,1.0,0.0,F,0.0,0.0
K/Qx con,Air + draw,14,404,198.38502500000013,0.05588193150380544,0.9441180697948959,C,0.09499161619233135,1.1407821999999999
K/Qx con,Second pair,14,223,49.339642000000005,0.0920196390847248,0.9079803519867038,C,0.27516579417776216,1.2782453554752
K/Qx con,Top pair,14,674,243.08211100000003,2.6067669172932326e-05,0.9999739323308271,C,0.0,0.0
K/Qx con,Third pair,14,158,43.13906100000001,0.2853301538446148,0.7146698461553852,C,0.6744255688270384,1.7405164601221
K/Qx con,A-high,13,329,281.8876080000003,0.9463527644935017,0.053647235506498366,F,2.6424291473818873e-05,0.17914952748
K/Qx con,Air,14,338,160.71120099999987,0.9883583185131947,0.011641683366504497,F,0.00037996927592336203,0.42089699999999997
K/Qx con,Two pair+,14,172,165.54893000000007,0.0,1.0,C,0.0,0.0
K/Qx dis,Air + draw,38,1047,196.02327000000017,0.03901221676568979,0.9609877827726295,C,0.07021961411461655,1.5593163
K/Qx dis,Third pair,41,305,28.85027800000001,0.184347362945591,0.8156526387965694,C,0.6008144750173265,1.7100305525366999
K/Qx dis,Second pair,42,842,76.5531620000001,0.02214335270401375,0.9778566454644844,C,0.11691571714937907,0.8608116556718999
K/Qx dis,Top pair,42,1541,304.7510489999992,0.0,1.0,C,0.0,0.0
K/Qx dis,Two pair+,42,420,189.09500300000008,0.0,1.0,C,0.0,0.0
K/Qx dis,Weak pair,27,270,9.159766000000005,1.0,0.0,F,0.0,0.0
