flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
BBx,Air,47,2280,294.6849100000002,0.9214453504268859,0.06489622245521173,0.013658436733936866,F,False,47,47,0.10054617462341638,0.987419875617822,0.0284188227404637,2.57015170136
BBx,Top pair,47,1902,279.438896,0.013403951996619702,0.7252994013323277,0.2612966259380048,C,False,47,47,0.9997756524949342,0.019006670417611102,0.10876659112895451,1.5644850253099996
BBx,Third pair,47,375,40.28480399999998,0.1507693185579196,0.3537188843971631,0.4955117803782505,R/C,False,47,47,0.9761792829787231,0.4046665861702127,0.096431164853825,2.9378851403735995
BBx,Gutshot,47,2281,422.98356900000005,0.08963346698098124,0.4242775050244836,0.4860890340512688,R/C,False,47,47,0.9653205568168018,0.11467965456917285,0.06583284272832218,2.5119154000000004
BBx,Two pair+,47,935,137.01615100000015,8.218063235756404e-06,0.14260980947117163,0.8573819648483871,R,False,47,47,0.9999907145390072,8.18614283687278e-06,0.07324117348478272,0.9468237297749997
BBx,Second pair,47,1470,191.46217100000013,0.14785274206101226,0.572268882702522,0.2798783738418201,C/R,False,47,47,0.9976362132978723,0.1897171457092278,0.049007192358209266,1.4433250158602
BBx,Overpair,47,444,99.7653889999999,0.003735296690307327,0.5334502819148936,0.4628144131205674,C/R,False,0,0,,,0.059844943041401824,0.42902191619999996
BBx,Weak pair,38,1140,123.96834100000012,0.5028632203320802,0.38887237638192707,0.10826443082010578,F/C,False,0,0,,,0.07617109377113239,1.07177388642
BBx,OESD,46,879,212.50530699999996,0.0015039909873188412,0.37396674282773373,0.6245292610795454,R/C,False,46,46,0.9996833038647344,0.004174845768747381,0.035653054708827764,1.3907368508399998
BBx,Underpair,20,162,15.058836999999997,0.15402165833333334,0.5816857541666667,0.26429255416666664,C/R,False,0,0,,,0.0010870415839221328,0.07011251107500002
K/Qx,Low pocket pair,42,672,99.93870500000013,0.3217287356481481,0.4716932238756614,0.20657805403439156,C/F,False,0,0,,,0.13269422341603812,1.60259005632
