"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"Js 4h 3d","200","UTG_CBET","UTG","3hAh","226.894","0.363609","0.636391","31.5113","31.5097","31.5102817744"
"Js 4h 3d","200","UTG_CBET","UTG","3sAs","224.962","0.2822","0.7178","32.1618","32.156","32.15763676"
"Js 4h 3d","200","UTG_CBET","UTG","4c4d","29.4459","0","1","114.44","140.474","140.474"
"Js 4h 3d","200","UTG_CBET","UTG","4c4s","29.3355","0","1","113.799","139.377","139.377"
"Js 4h 3d","200","UTG_CBET","UTG","4c5c","58.0617","1","0","34.1101","33.9575","34.1101"
"Js 4h 3d","200","UTG_CBET","UTG","4cAc","223.728","0.275683","0.724317","29.895","29.893","29.893551366000004"
"Js 4h 3d","200","UTG_CBET","UTG","4d4s","29.4496","0","1","114.568","140.26","140.26"
"Js 4h 3d","200","UTG_CBET","UTG","4d5d","58.5454","0.349843","0.650157","38.4399","38.4366","38.4377544819"
"Js 4h 3d","200","UTG_CBET","UTG","4dAd","225.76","0.060397","0.939603","35.7517","35.751","35.7510422779"
"Js 4h 3d","200","UTG_CBET","UTG","4s5s","58.1206","0.119628","0.880372","38.9346","38.9279","38.9287015076"
"Js 4h 3d","200","UTG_CBET","UTG","4sAs","223.645","0.033136","0.966864","36.2605","36.2608","36.2607900592"
"Js 4h 3d","200","UTG_CBET","UTG","5c5d","52.8067","0.729006","0.270994","31.2649","31.2365","31.257203770400004"
"Js 4h 3d","200","UTG_CBET","UTG","5c5h","52.7696","0.640422","0.359578","31.3049","31.2576","31.2878919606"
"Js 4h 3d","200","UTG_CBET","UTG","5c5s","52.6256","0.861791","0.138209","31.0956","31.0783","31.0932089843"
"Js 4h 3d","200","UTG_CBET","UTG","5c6c","58.7603","0","1","51.2658","56.8599","56.8599"
"Js 4h 3d","200","UTG_CBET","UTG","5cKc","106.95","0.250689","0.749311","18.144","18.191","18.179217617"
"Js 4h 3d","200","UTG_CBET","UTG","5cAc","221.561","0.236103","0.763897","32.3361","32.3278","32.3297596549"
"Js 4h 3d","200","UTG_CBET","UTG","5d5h","52.9968","0.721147","0.278853","31.8492","31.8281","31.8433162017"
"Js 4h 3d","200","UTG_CBET","UTG","5d5s","52.8616","0.812826","0.187174","31.6493","31.6403","31.647615434"
"Js 4h 3d","200","UTG_CBET","UTG","5d6d","59.1898","0","1","54.3487","60.1844","60.1844"
"Js 4h 3d","200","UTG_CBET","UTG","5dKd","107.714","0.511963","0.488037","22.0863","22.0968","22.0914243885"
"Js 4h 3d","200","UTG_CBET","UTG","5dAd","223.68","0.125972","0.874028","37.6397","37.6346","37.6352424572"
"Js 4h 3d","200","UTG_CBET","UTG","5h5s","52.8225","0.813361","0.186639","31.6811","31.6721","31.679420249000003"
"Js 4h 3d","200","UTG_CBET","UTG","5h6h","59.2074","0","1","54.4034","60.2052","60.2052"
"Js 4h 3d","200","UTG_CBET","UTG","5hKh","107.736","0.475135","0.524865","22.0787","22.0882","22.0836862175"
"Js 4h 3d","200","UTG_CBET","UTG","5hAh","223.349","0.129327","0.870673","37.5717","37.5666","37.567259567700006"
"Js 4h 3d","200","UTG_CBET","UTG","5s6s","58.8508","0","1","54.4418","60.1842","60.1842"
"Js 4h 3d","200","UTG_CBET","UTG","5sKs","106.763","0.352385","0.647615","22.4863","22.4726","22.4774276745"
"Js 4h 3d","200","UTG_CBET","UTG","5sAs","221.702","0.111698","0.888302","37.8676","37.866","37.8661787168"
"Js 4h 3d","200","UTG_CBET","UTG","6c6d","147.384","0.453065","0.546935","31.0914","31.0894","31.09030613"
"Js 4h 3d","200","UTG_CBET","UTG","6c6h","147.531","0.439664","0.560336","31.1425","31.1383","31.1401465888"
"Js 4h 3d","200","UTG_CBET","UTG","6c6s","147.04","0.471374","0.528626","30.9397","30.9322","30.935735305"
"Js 4h 3d","200","UTG_CBET","UTG","6c7c","61.2571","0.143222","0.856778","32.8895","32.9041","32.9020089588"
"Js 4h 3d","200","UTG_CBET","UTG","6c8c","0.453337","1","0","16.0879","15.4015","16.0879"
"Js 4h 3d","200","UTG_CBET","UTG","6cKc","91.9064","0.38339","0.61661","16.5462","16.5465","16.546384983"
"Js 4h 3d","200","UTG_CBET","UTG","6cAc","221.196","0.307785","0.692215","16.2799","16.2516","16.2603103155"
"Js 4h 3d","200","UTG_CBET","UTG","6d6h","147.956","0.439511","0.560489","31.5653","31.5461","31.5545386112"
"Js 4h 3d","200","UTG_CBET","UTG","6d6s","147.45","0.475888","0.524112","31.3588","31.3347","31.3461689008"
"Js 4h 3d","200","UTG_CBET","UTG","6d7d","61.4762","0","1","36.4828","37.0443","37.0443"
"Js 4h 3d","200","UTG_CBET","UTG","6d8d","0.454715","1","0","19.3436","19.0066","19.3436"
"Js 4h 3d","200","UTG_CBET","UTG","6dKd","92.455","0.525184","0.474816","20.4912","20.563","20.525291788799997"
"Js 4h 3d","200","UTG_CBET","UTG","6dAd","222.931","0.689999","0.310001","20.5845","20.5336","20.5687209491"
"Js 4h 3d","200","UTG_CBET","UTG","6h6s","147.599","0.462887","0.537113","31.4065","31.3826","31.3936629993"
"Js 4h 3d","200","UTG_CBET","UTG","6h7h","61.6946","0","1","36.5458","37.2948","37.2948"
"Js 4h 3d","200","UTG_CBET","UTG","6h8h","0.455172","1","0","19.3801","19.0333","19.3801"
"Js 4h 3d","200","UTG_CBET","UTG","6hKh","92.6349","0.52038","0.47962","20.4694","20.5267","20.496882226"
"Js 4h 3d","200","UTG_CBET","UTG","6hAh","222.997","0.645371","0.354629","20.5295","20.4775","20.511059292"
"Js 4h 3d","200","UTG_CBET","UTG","6s7s","61.3678","0","1","36.7359","37.6312","37.6312"
"Js 4h 3d","200","UTG_CBET","UTG","6s8s","0.455417","1","0","19.4355","18.9921","19.4355"
"Js 4h 3d","200","UTG_CBET","UTG","6sKs","91.7407","0.449744","0.550256","20.8065","20.8339","20.8215770144"
"Js 4h 3d","200","UTG_CBET","UTG","6sAs","221.194","0.606655","0.393344","20.8421","20.7992","20.8252047003"
"Js 4h 3d","200","UTG_CBET","UTG","7c7d","226.827","0.65384","0.34616","30.7741","30.7681","30.77202304"
