flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
A[9-2]x,Air,27,660,343.7533569999999,0.9984555533878466,0.001544446612153279,F,False,27,4,0.001544446612153279,1.0,0.0004311411986787214,0.065701439853
A[9-2]x,Weak pair,18,312,77.62946199999999,1.0,0.0,F,False,0,0,,,0.0,0.0
BBB,Gutshot,4,111,32.70404699999998,0.35590948035714287,0.6440905126984127,C/F,False,4,4,0.7373951865808823,0.38393072142857143,0.23407702724677032,2.33033
BBB,Second pair,2,5,0.00374,1.0,0.0,F,False,2,1,0.0,1.0,0.0,0.0
BBB,Top pair,3,22,0.8219510000000001,0.0027894333333333336,0.9972105666666667,C,False,0,0,,,0.0,0.0
BBB,OESD,4,100,12.189610000000009,0.0,1.0,C,False,4,4,1.0,0.0,0.0,0.0
BBB,Third pair,2,6,0.021952,1.0,0.0,F,False,0,0,,,0.0,0.0
BBB,Two pair+,4,124,37.009510000000006,0.0,1.0,C,False,4,4,1.0,0.0,0.0,0.0
BBx,Top pair,47,1030,40.40863200000001,0.004365439144736842,0.9956345597354422,C,False,47,44,1.0,0.005906511713286713,0.006879988559083815,0.251760499375
BBx,Third pair,47,552,90.14914499999998,0.4831887508654171,0.516811249134583,BDFD,True,45,47,0.8569308521953354,0.996716960283688,0.03762878362092627,0.6543999
BBx,Gutshot,47,1795,175.87729099999999,0.38473778926967167,0.6152622091327788,C/F,False,47,47,0.6307340854580383,0.3709585609559152,0.3787466904077084,2.542795
BBx,Second pair,45,906,26.672168999999997,0.16320421155341475,0.8367957892820498,C,False,44,43,0.9999644437229436,0.24768534123565145,0.19623664961116688,0.9887039
