flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
A[J-T]x,Third pair,12,117,3569.6725899999997,0.19418179305555558,0.8058182138888889,B,False,0,0,,,0.0010072877951718196,0.01321959017999994
A[J-T]x,OESD,5,84,3031.2139779999998,0.5040118500000002,0.49598813999999997,X/B,False,0,0,,,0.0006178516386358226,0.012906249840000328
A[J-T]x,Two pair+,16,326,24916.220776000002,0.39728698948863644,0.6027129917613636,B/X,False,0,0,,,0.0008424578840654069,0.2125249999999994
A[J-T]x,Weak pair,15,384,27211.983160000003,0.8437945572751322,0.15620543350529098,X,False,0,0,,,0.0012103783713389776,0.055990450130000015
A[J-T]x,Second pair,16,495,26327.941077999967,0.7916271833754207,0.2083728189393939,X,False,0,0,,,0.000606980950178884,0.046049907900000166
A[J-T]x,Underpair,16,240,20514.21600000001,0.9734374166666666,0.02656259027777778,X,False,0,0,,,1.1635724598152892e-05,0.0008145951999999568
A[9-2]x,Low pocket pair,18,312,4176.91461,0.6950336168209877,0.30496639197530867,X,False,0,0,,,0.002489980474007742,0.08307409682000007
A[9-2]x,Top pair,28,1812,153724.4965000002,0.806090844805195,0.19390915579004328,X,False,0,0,,,0.0011262427165625037,0.015689608470000848
A[9-2]x,Air,28,3220,183752.89746799934,0.8236177425388844,0.17638225563670323,X,False,0,0,,,0.004135570858186982,0.12393686768399999
A[9-2]x,Gutshot,25,296,9426.797394000003,0.3077315348814872,0.6922684462487813,B,False,0,0,,,0.003951309708535333,0.0558826905599993
A[9-2]x,OESD,13,68,1675.9621639999996,0.17929196153846153,0.8207080769230768,B,False,0,0,,,0.0024241981412075047,0.011568539199999606
A[9-2]x,Third pair,14,102,2630.138638,0.2706513611111111,0.7293486071428573,B,False,0,0,,,0.004402215765481479,0.1779
A[9-2]x,Two pair+,28,380,24764.297299999995,0.317438770943762,0.6825612269553974,B,False,0,0,,,0.0027263271902829333,0.07802464639999869
A[9-2]x,Second pair,25,291,10385.65903799999,0.4599731117777779,0.5400268915555556,B/X,False,0,0,,,0.0011821415856324612,0.05445999999999991
A[9-2]x,Underpair,28,984,86767.27679999999,0.9060556493409863,0.09394436213860544,X,False,0,0,,,9.956794912332472e-05,0.006754587840000071
A[9-2]x,Weak pair,18,312,15361.641219999994,0.6757140822530866,0.32428592700617287,X,False,0,0,,,0.0025274440975618707,0.10941110052000003
BBB,Low pocket pair,4,162,6209.884259999995,0.7889036200396825,0.2110963869047619,X,False,0,0,,,0.0006209918994535122,0.014534599020000094
BBB,Gutshot,4,362,28175.061044000016,0.7101936679621712,0.2898063293496567,X,False,0,0,,,0.001966969052838352,0.022338354090000224
BBB,Air,4,68,1280.2213860000006,0.9987067625,0.0012932375000000002,X,False,0,0,,,0.0,0.0
BBB,Top pair,3,36,1615.8341,0.8537323611111112,0.14626763888888888,X,False,0,0,,,0.00011986410873098606,0.0008394801600005053
