study,flop,hand,status,reach_weight,share_of_study,share_of_class,positive_reach_rows,positive_reach_boards,frequencies_X,frequencies_B,action_ev_bb_X,action_ev_bb_B,forced_action_local_regret_bb_X,forced_action_local_regret_bb_B,extra_loss_vs_mixed_bb_X,extra_loss_vs_mixed_bb_B,action_loss_p95_bb_X,action_loss_p95_bb_B,action_loss_mass_gt_05_X,action_loss_mass_gt_05_B,action_loss_mass_gt_10_X,action_loss_mass_gt_10_B,mixed_ev_bb,frequencies_F,frequencies_C,frequencies_R,action_ev_bb_F,action_ev_bb_C,action_ev_bb_R,forced_action_local_regret_bb_F,forced_action_local_regret_bb_C,forced_action_local_regret_bb_R,extra_loss_vs_mixed_bb_F,extra_loss_vs_mixed_bb_C,extra_loss_vs_mixed_bb_R,action_loss_p95_bb_F,action_loss_p95_bb_C,action_loss_p95_bb_R,action_loss_mass_gt_05_F,action_loss_mass_gt_05_C,action_loss_mass_gt_05_R,action_loss_mass_gt_10_F,action_loss_mass_gt_10_C,action_loss_mass_gt_10_R
UTG_DEF33,A[K/Q]x,Air / Nothing,observed,1834.5349360000002,0.0007938412367829602,0.04592328968252071,149,16,,,,,,,,,,,,,,,0.0,0.9999999999999997,0.0,0.0,0.0,-0.8921550151527923,-1.1539615014406472,0.0,0.8921550151527923,1.1539615014406472,0.0,0.8921550151527923,1.1539615014406472,0.0,1.1076149,1.7335503,0.0,0.9523083827497083,0.988341323143927,0.0,0.30007831368985166,0.5953642967309508
UTG_DEF33,A[J-T][9-5],Two pair+,observed,2438.206693,0.0010550625004306874,0.061285236650838126,203,10,,,,,,,,,,,,,,,12.537919510229345,0.0,0.8029810781574719,0.1970188985089035,0.0,12.533185389386876,12.533383321638064,12.541909275466299,0.008723886079415325,0.008525953828230315,12.537919680487503,0.004734291100619448,0.0045363588494344385,23.7377,0.0504999999999995,0.0301600000000004,1.0000000000000002,0.0017372091595681631,0.0,1.0000000000000002,0.0017372091595681631,0.0
UTG_DEF33,A[J-T][9-5],Overpair,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[J-T][9-5],Top pair,observed,11982.7882,0.005185200465866876,0.3011918606745743,570,10,,,,,,,,,,,,,,,2.692538435853461,0.0,0.9859813139028532,0.014018690823676584,0.0,2.6925893408566615,2.6063154747317325,2.692731518982617,0.00014217812595570116,0.08641604425088642,2.6925384170256055,-5.09238310557392e-05,0.08622294229387498,4.68097,0.000690000000000079,0.41842,1.0000000000000009,0.0,0.018620549431058123,1.0000000000000009,0.0,0.0
UTG_DEF33,A[J-T][9-5],Second pair,observed,3806.7071219999993,0.001647240960364563,0.09568300649078763,306,10,,,,,,,,,,,,,,,1.0862903273555988,2.642992927366058e-09,0.9324270432211073,0.06757294175848082,0.0,1.0862788350210253,1.0670342465966203,1.0880371514488658,0.0017583164278399625,0.021002904852244906,1.0862903415281713,1.150650714547806e-05,0.01925609493155042,1.89122,0.011997,0.10744,0.9233762355096155,0.0,0.0,0.5225377945427347,0.0,0.0
UTG_DEF33,A[J-T][9-5],Third pair,observed,738.2702770000001,0.0003194648290817715,0.01855669938406851,111,10,,,,,,,,,,,,,,,1.0463379776347552,0.0,0.8241753545717188,0.17582464265182926,0.0,1.0410431496167531,1.0424537204511988,1.0515373198119917,0.010494170195238666,0.00908359936079347,1.0463379795038237,0.0052948298870706964,0.0038842590526254996,1.64396,0.07605,0.0267600000000001,0.8189034501791272,0.0,0.0,0.5724769656411347,0.0,0.0
UTG_DEF33,A[J-T][9-5],Underpair,observed,3387.0093,0.0014656290261606596,0.08513374484822218,150,10,,,,,,,,,,,,,,,0.9444357577324576,0.0,0.9983728891909744,0.0016271108090255319,0.0,0.9444326007741992,0.6568803691152842,0.9444841236463685,5.152287216926141e-05,0.28760375453108433,0.9444357577324576,3.1569582583236924e-06,0.2875553886171734,1.4954,0.0,0.444217,0.8720905195034448,0.0,0.005878519436010996,0.38442607760185366,0.0,0.0
UTG_DEF33,A[J-T][9-5],Weak pair,observed,6680.265431,0.002890689115654701,0.16791096874790185,449,10,,,,,,,,,,,,,,,0.01338994888999099,0.5494884047043768,0.44888959635099773,0.0016220148886625881,0.0,-0.005073650476080285,-0.4035818054059848,0.01802164302624014,0.023095293502320424,0.4216034484322249,0.013389948261573106,0.01846359873765339,0.4169717536675579,0.0627563,0.1419487,1.0989494,0.0,0.0,0.3921018410203948,0.0,0.0,0.08424671307046454
UTG_DEF33,A[J-T][9-5],Combo draw,observed,1790.975308,0.0007749920841793458,0.04501683384829741,144,10,,,,,,,,,,,,,,,1.5704296077495514,9.753791647472563e-09,0.7831050662550347,0.2168949462403359,0.0,1.562764966271878,1.5742168425112921,1.5824609155125995,0.019695949240720642,0.00824407300130682,1.5704295815906577,0.007664615318778777,-0.0037872609206350445,3.77975,0.106462,0.0229999999999997,0.9642250790874665,0.0,0.0,0.8217149406953186,0.0,0.0
UTG_DEF33,A[J-T][9-5],OESD,observed,333.77178399999997,0.00014442995912170242,0.008389478557555754,57,5,,,,,,,,,,,,,,,2.9149433866600756,0.0,0.7463002768742459,0.2536997018028013,0.0,2.9098308553766783,2.920962741339124,2.9224101023892723,0.01257924701259349,0.0014473610501479885,2.9149434496263287,0.005112594249649829,-0.006019291712795673,3.25116,0.0413199999999998,0.00579000000000018,0.9999999999999998,0.0,0.0,0.9999999999999998,0.0,0.0
UTG_DEF33,A[J-T][9-5],Gutshot,observed,3874.1946259999995,0.0016764442001565333,0.09737933013122742,351,10,,,,,,,,,,,,,,,0.5912283595016375,0.006324374894293966,0.9447235393619144,0.04895209624857729,0.0,0.5920553124259081,0.5737396451812462,0.5934856381116917,0.001430325685783702,0.01974599293044578,0.5912283542279775,-0.0008269581979305886,0.01748870904673149,0.857736,0.0102329999999999,0.0769919999999999,0.6839844253606686,0.0,0.0018263641048166589,0.009806640777679917,0.0,0.0
UTG_DEF33,A[J-T][9-5],BDFD,observed,3299.2790139999997,0.0014276663156257412,0.08292861131528928,239,10,,,,,,,,,,,,,,,-1.5183869693953081e-09,0.9999999930265768,0.0,6.9734235578052274e-09,0.0,-0.5815097528250118,-1.0532754966587676,0.0,0.5815097528250118,1.0532754966587676,-1.5183869693953081e-09,0.5815097513066249,1.0532754951403807,0.0,0.8523403,1.571991,0.0,0.6918701762760336,0.959336675852296,0.0,0.0,0.5930860990224815
UTG_DEF33,A[J-T][9-5],2 overcards + draw,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[J-T][9-5],2 overcards,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[J-T][9-5],A-high,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[J-T][9-5],Air / Nothing,observed,1453.100703,0.0006287867494935015,0.03652422935123747,80,10,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,-0.9567466607123286,-1.6218060922424768,0.0,0.9567466607123286,1.6218060922424768,0.0,0.9567466607123286,1.6218060922424768,0.0,1.1696964,2.1268341,0.0,0.9956708299796343,1.0,0.0,0.44028549341359724,0.9277195050672273
UTG_DEF33,A[J-T][4-2],Two pair+,observed,900.844166,0.0003898139156975717,0.039633084900520164,119,6,,,,,,,,,,,,,,,13.277079093557125,0.0,0.7372972218757087,0.2627027752153862,0.0,13.262521490813755,13.274890948776592,13.279970084910557,0.01744859409679511,0.005079136133962575,13.277079199104234,0.014557708290472704,0.0021882503276401673,22.8659,0.0444999999999993,0.0157999999999987,0.9999999999999997,0.00643201812110087,0.0,0.9999999999999997,0.00643201812110087,0.0
UTG_DEF33,A[J-T][4-2],Overpair,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[J-T][4-2],Top pair,observed,6639.1006,0.0028728762412788917,0.292090516511037,342,6,,,,,,,,,,,,,,,3.454954385276223,0.0,0.9886971711785936,0.011302831717386542,0.0,3.4550141360299618,3.3786184333668627,3.4550264039781236,1.2267948161534299e-05,0.07640797061126021,3.4549543798975058,-5.975613245647526e-05,0.0763359465306422,5.6106,0.0,0.35483,1.0000000000000002,0.0,0.006766308074922077,1.0000000000000002,0.0,0.0
