flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBx,Air + BDFD,47,2619,329916.546900001,0.9999996987217222,3.0127827768900863e-07,X,3.5242458953795046e-07,0.0,0.0
BBx,Top pair + BDFD,47,734,75270.48290000006,0.9933511614994937,0.006648840759034109,X,0.005843584468664851,8.190220459166264e-09,2.3667699998952686e-06
BBx,A-high + BDFD,47,963,130477.02999999996,0.9999990506585614,9.49341438703141e-07,X,9.730010384215812e-07,0.0,0.0
BBx,Second pair,47,1599,145867.82863000012,0.998873129937335,0.0011268693186731276,X,0.0008237404627892431,3.4461062785016423e-09,1.8932899997992082e-06
BBx,Second pair + BDFD,47,570,57889.505600000026,0.9992801509962851,0.0007198517223910839,X,0.0007710938596491228,4.063461733132373e-09,1.5569500000367498e-06
BBx,Third pair,47,311,40457.934900000015,0.9894382770263428,0.010561729052684904,X,0.009953221864951766,0.0,0.0
BBx,Third pair + BDFD,47,622,81049.88299999996,0.999161362462006,0.0008386375548801082,X,0.0006225538585208997,5.941619992262389e-07,0.000140773799999927
BBx,Air + Gutshot,47,315,25287.176490000005,0.9990534642857141,0.0009465271023302937,X,0.0004950761904761907,0.0,0.0
BBx,Air + Gutshot + BDFD,47,513,73165.67839999998,0.9961387194303729,0.0038612871974558144,X,0.006476739766081871,4.379101729995445e-10,1.9218999991466035e-07
BBx,Two pair+,47,814,90026.55210000004,0.9973708761075611,0.00262912282532476,X,0.0029003052825552814,1.065757491282859e-08,8.46773999967354e-06
BBx,Third pair + Gutshot,9,36,2905.0245600000007,0.9989037424242425,0.001096257575757576,X,0.0005718333333333334,0.0,0.0
BBx,Third pair + Gutshot + BDFD,9,36,5596.8679999999995,0.9993759722222221,0.0006240277777777777,X,0.0006240277777777802,0.0,0.0
BBx,Two pair+ + BDFD,47,144,14883.166199999998,0.9866566016548466,0.013343388888888887,X,0.014680229166666661,0.0,0.0
BBx,Weak pair + Gutshot,8,66,10483.859199999997,0.9998163854166666,0.00018360416666666666,X,0.0002370757575757565,0.0,0.0
BBx,Second pair + Gutshot,9,135,8995.11914,0.9946790707070706,0.005320929292929292,X,0.0040066814814814795,0.0,0.0
BBx,Top pair + Gutshot,9,117,12203.768200000004,0.9990450762626263,0.0009549136363636365,X,0.0006370042735042721,0.0,0.0
BBx,A-high + Gutshot,42,787,117782.70619999986,0.9983994990842492,0.0016005045787545785,X,0.0021542382465057144,2.2161110862567327e-08,1.6756621000002526e-05
BBx,Second pair + Gutshot + BDFD,9,36,4111.0746,0.9955667777777778,0.0044332500000000006,X,0.00443323611111111,0.0,0.0
BBx,Top pair + Gutshot + BDFD,9,36,2730.2201000000005,0.987422388888889,0.012577555555555555,X,0.012577583333333335,0.0,0.0
