flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
Middle connected,Third pair,26,183,22629.452863000013,0.6606012435897437,0.33939875747863246,X,0.00033484279548102536,0.03554943119999976
Middle connected,Second pair,26,252,30307.470720999983,0.47285326448060483,0.52714674265286,X/B,0.00878549975348383,0.1093049999999998
Middle connected,Top pair,26,819,123001.34837000018,0.48250099638630606,0.5174990002254156,X/B,0.010744768040887444,0.16274999999999978
Middle connected,Overpair,26,672,134094.24000000017,0.32900983472222217,0.670990156303419,B,0.0007527386619699584,0.012836429299999707
Middle connected,2 overcards + draw,26,901,160025.84407000022,0.5839826574876577,0.41601734413064634,X/B,0.0031789850569359014,0.04906000000000006
Middle connected,Underpair,22,444,79320.13780000008,0.6043610015692641,0.3956389895382394,X/B,0.00032360682613392363,0.004000117440000395
Middle connected,2 overcards,25,1843,318413.2584500003,0.48130174889390615,0.5186982452999226,X/B,0.0005927182537759496,0.019374999999999965
Middle dry,Weak pair,67,1602,113862.83428000008,0.8891688966003316,0.11083110149253728,X,0.0005672809390427959,0.08651999999999979
Middle dry,A-high,67,1616,345992.7564000003,0.5856348962375622,0.4143651101057215,X/B,0.0010437160718055117,0.03329500000000003
Middle dry,Air,61,1652,175326.94071599975,0.5080867628448138,0.4919132345569859,X/B,0.0012396572467148165,0.06722499999999983
Middle dry,Air + draw,65,932,64973.14460100001,0.1502611307534132,0.8497388687262738,B,0.0017379627693689728,0.18972000000000017
Middle dry,Third pair,67,390,51933.004195999965,0.43203463606965187,0.5679653564676616,X/B,0.02263294808722724,0.22771500000000025
Middle dry,Two pair+,67,691,90496.68453499992,0.003411653912256897,0.9965883440976933,B,3.3452337516269894e-06,0.00082215100000127
Middle dry,Second pair,67,882,96610.4496669999,0.4627363441127695,0.5372636476782753,X/B,0.004625119169942766,0.15576000000000007
Middle dry,A-high + draw,22,188,37135.40499999999,0.2531876352272728,0.746812359090909,B,0.0018857165051338446,0.06602999999999995
Middle dry,Underpair,52,726,152576.32989999995,0.6609508551282051,0.33904915438034194,X,0.0008294332446930135,0.008454857070000089
Middle dry,Top pair,67,2190,339240.3234200003,0.4757030484044977,0.5242969506515045,X/B,0.009882489969533509,0.23743499999999998
Middle dry,Overpair,67,1692,352681.9349999999,0.27462585103648424,0.7253741535655058,B,0.0005090026174684257,0.013911025500000562
Middle dry,2 overcards + draw,67,2040,385077.81503000035,0.5053403220997682,0.4946596731073111,X/B,0.006185410316575235,0.08692999999999955
Middle dry,2 overcards,67,4884,890429.0524200002,0.4712541258231076,0.5287458705538269,X/B,0.0004893181514631997,0.019839999999999948
Low,Weak pair,16,180,2365.03755,0.7883313923611112,0.2116686076388889,X,0.016814982855137366,0.45996000000000026
Low,A-high,7,36,5837.218099999998,0.9440682619047618,0.0559317380952381,X,0.00022666965722632017,0.0014796592199999737
Low,A-high + draw,15,132,16679.559400000002,0.44811500555555556,0.5518849638888889,X/B,0.003692362118317786,0.07831499999999991
Low,Third pair,20,69,7313.108099999998,0.40170960833333325,0.5982903916666666,X/B,0.0016153512937075042,0.05361999999999974
Low,Two pair+,20,252,12733.820325000002,0.0019508034759358286,0.9980491965240642,B,3.8515734498069024e-07,0.00010319713999962232
Low,Second pair,20,144,11292.825744,0.34063388194444444,0.6593661333333334,B,0.004737587309128736,0.1560299999999998
Low,Top pair,20,225,13737.751857000008,0.16879720194444442,0.8312027930555554,B,0.0013694120060540737,0.10190999999999946
Low,Overpair,20,930,121125.07719999988,0.4489891280720899,0.5510108671494709,X/B,0.0005162375746953141,0.0692300000000003
Low,2 overcards + draw,20,1552,166791.3391910003,0.5606247325450957,0.4393752709748222,X/B,0.0030811687681088786,0.42881500000000017
Low,2 overcards,20,2304,229903.70849399982,0.5346164994428516,0.4653834987057309,X/B,0.0016310728125596865,0.050904999999999846
Low,Air + draw,12,68,2971.3801779999994,0.07357281597222223,0.9264271840277777,B,9.858432359736568e-05,0.0027935396400003754
Low,Air,4,28,2181.5810180000003,0.5862690416666667,0.4137309791666667,X/B,0.001033740981525105,0.08088999999999977
Low,Underpair,10,90,5662.665599999998,0.3112844527777777,0.6887155472222222,B,0.001068086119063013,0.007527899060000465
