flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBB,Air + draw,4,144,14628.868600000005,0.5629503080815018,0.21107198397435895,0.22597772653388276,F/R,0.5411804131944445,0.399429664630898,1.1889555
BBB,Third pair,4,168,11802.493589999996,0.39071914040404043,0.5040346964646465,0.1052461515151515,F/C,0.4598240803571428,0.21879460498982253,0.8567878629699999
BBB,Two pair+,4,218,15916.667239999995,0.0,0.6463131910012173,0.3536867995648204,C/R,0.309751256880734,0.005254232913684448,0.1353200000000001
BBx,Weak pair,47,2166,260757.41030000028,0.9385737302150169,0.056429835781830466,0.00499643477710233,F,0.06509600923361032,0.012553772894921017,1.8304510465
BBx,Air,47,3492,290784.2967999995,1.0,0.0,0.0,F,0.0,0.0,0.0
BBx,Top pair,47,2433,166766.23882000017,1.5652482269503543e-05,0.8725419561727293,0.12744238960208193,C,0.12572218762844223,0.0007831978359021418,0.22443000000000027
BBx,A-high,47,1284,114802.46959999973,1.0,0.0,0.0,F,0.0,0.0,0.0
BBx,Second pair,47,2376,145684.9191800002,0.03021505778129095,0.8595968880266652,0.11018805137698234,C,0.13961508670033645,0.0013700697789088521,0.2466541
BBx,Third pair,47,1023,87076.6808,0.19420475449172567,0.6031534515647867,0.20264178837386018,C/R,0.43148121652003973,0.041823765410490606,0.59586185
BBx,Air + draw,47,1672,112181.41950999999,0.31033658920991836,0.37142472149285394,0.3182386910044594,C/R,0.4657562936602864,0.10335882615557787,1.65631545
BBx,Two pair+,47,958,68738.79171,0.0,0.16946582958009898,0.8305341813166871,R,0.21191129070981216,0.0016648093948391572,0.22216000000000022
BBx,A-high + draw,42,1056,95874.59940000005,0.10527769434523811,0.6505871921130952,0.24413510818452386,C,0.3584022462121212,0.009769657481628915,1.1885006
BBx,Underpair,16,96,6508.735400000001,8.541666666666667e-07,0.9635196354166667,0.0364795,C,0.036480359375,1.2220193246033624e-05,0.0008475250000000046
K/Qx con,Weak pair,12,252,26574.79809999999,0.9182400972222222,0.08174463703703704,1.5259259259259258e-05,F,0.07610765277777777,0.0009761420434941531,0.030463236903000002
K/Qx con,Air,14,1468,74447.57814999993,0.9569651510743764,0.0391884194690852,0.003846431527037933,F,0.04775810762942778,0.002980760619682006,0.46407223712300005
K/Qx con,Top pair,14,870,42951.773189999985,0.0,0.8658827906307975,0.13411720709647496,C,0.13418572413793106,0.0005049535298633705,0.16032454877999952
K/Qx con,A-high,14,816,56696.34321999999,0.6995645701176303,0.2757013161493764,0.024734121279761906,F,0.306342882965686,0.02574372967575257,0.653616
K/Qx con,Air + draw,14,488,26170.45702,0.0031478550170068033,0.34196726451118326,0.6548848967854567,R,0.38573644979508215,0.0036488365573995223,0.3678026
K/Qx con,Third pair,14,270,18154.28102999999,0.0,0.8085826979591838,0.19141729727891152,C,0.1607299462962963,0.0015255760133044227,0.0227177499499998
K/Qx con,Second pair,14,309,20065.746479999998,0.0,0.7878531126700681,0.21214688358843534,C,0.1966727071197412,0.003456913814778073,0.1276
K/Qx con,Two pair+,14,178,13094.679409999995,0.0,0.2366633227040816,0.7633366951530612,R,0.24698760955056176,0.002236617726273717,0.05697765080000039
K/Qx con,Underpair,14,420,31992.309999999998,0.016009386692176872,0.972428824787415,0.011561796853741497,C,0.03761044404761905,0.0004236137722333895,0.019583315544000002
K/Qx dis,Weak pair,42,1092,128776.54280000001,0.6439013068121692,0.35609599993386243,2.6838624338624335e-06,F/C,0.34090336950549444,0.018170311485611355,0.13981875
K/Qx dis,Air,42,4516,277486.8230100003,0.9541140691462162,0.037411301477419875,0.008474628492155223,F,0.05384680768379099,0.003216929131607047,0.47293548805999996
K/Qx dis,Top pair,42,2616,152165.97556000005,0.0,0.8686830638888892,0.13131693499622069,C,0.13121532282110096,0.00048691707334893637,0.27235000000000015
K/Qx dis,A-high,42,2640,214262.88283999986,0.7020973221489988,0.26455433313846366,0.03334834545068027,F,0.29688468011363633,0.024258559395754022,0.693785
K/Qx dis,Third pair,42,747,53182.16244999995,0.0,0.784915806500378,0.21508418961640208,C,0.1867351204819275,0.002307279760339727,0.16016743728000016
K/Qx dis,Air + draw,38,1336,82061.01279999988,0.002500202184382525,0.37743806989962664,0.6200617266889651,C/R,0.27042080351796405,0.004610451769730507,0.2933133
K/Qx dis,Second pair,42,1092,83484.21770999998,1.8518518518518518e-08,0.7623885101081681,0.23761147059168794,C,0.23051395283882772,0.0012462127316216795,0.05036202599999982
K/Qx dis,Two pair+,42,446,41206.70499999997,0.0,0.17597872321428573,0.8240212730158731,R,0.18320114013452926,0.0016335730451610103,0.07680000000000006
