flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
A[J-T][4-2],Weak pair,6,270,35950.02099999999,0.40762545039682546,0.5923745386904762,X/B,0.35369256851851866,0.010575258448259815,0.07528500000000023
A[J-T][4-2],Top pair,6,342,72305.08600000002,0.5400823918128655,0.45991760526315795,X/B,0.18533091081871336,0.001250505794048807,0.028464999999999917
A[J-T][4-2],Two pair+,6,120,21894.343999999994,0.026936341666666665,0.9730636583333333,B,0.026936341666666665,5.060894238556874e-05,0.002368609759999174
A[J-T][4-2],Third pair,2,6,338.02260000000007,0.0,1.0,B,0.0,0.0,0.0
A[J-T][4-2],Air,6,300,28414.028959999978,0.497499875,0.5025001215277778,X/B,0.2628736483333333,0.0011217339500576053,0.02399597412000034
A[J-T][4-2],Second pair,6,189,24989.302168000017,0.695439448989899,0.30456052929292926,X,0.30409169841269834,0.0029548782671441126,0.1003300000000003
A[J-T][4-2],Air + draw,6,304,46855.763599999955,0.3124117593482905,0.6875882310363247,B,0.3124651792763157,0.00020305967147558074,0.007009894849999654
A[J-T][4-2],Underpair,6,90,19350.507999999998,0.9554653564814816,0.044534652777777774,X,0.038228605555555545,8.464122264252782e-05,0.0010270093400002623
A[9-7]x,Weak pair,18,552,45231.77350000003,0.6118713604938271,0.38812863657407404,X/B,0.4066159347826083,0.013115457292641792,0.0777700000000003
A[9-7]x,Top pair,18,1188,249704.42900000012,0.5794632407407408,0.4205367508417508,X/B,0.26578669191919185,0.003616317318399053,0.05669499999999985
A[9-7]x,Air,18,1968,276238.2441559998,0.37304806804520935,0.6269519265854095,X/B,0.2709970342987808,0.0010142223699978168,0.04619999999999998
A[9-7]x,Air + draw,17,180,13106.069314000002,0.021654665040106956,0.9783453336229947,B,0.06922314722222225,4.210062152868969e-06,0.00042255695999990903
A[9-7]x,Third pair,12,93,5655.759539000002,0.25644681249999995,0.7435531875,B,0.3001839999999999,0.0061458152339324765,0.08826
A[9-7]x,Two pair+,18,242,42934.73948900001,0.004205937891737892,0.9957940621082622,B,0.004314256198347108,2.0097165817157236e-07,4.030806000088205e-05
A[9-7]x,Second pair,18,228,21642.34686900001,0.209925925617284,0.7900740706790124,B,0.24065380482456145,0.0003301937847531449,0.04995999999999974
A[9-7]x,Underpair,18,528,113715.709,0.8375257949074074,0.16247420941358023,X,0.16517641856060603,0.00042495619989819195,0.00483973350000042
A[6-2]x,Weak pair,9,120,2674.4251999999997,0.2719098950617284,0.7280901141975308,B,0.3546339458333333,0.018018977291147313,0.07759999999999997
A[6-2]x,Top pair,10,660,128788.95500000007,0.6482058909090909,0.35179409999999994,X/B,0.29441449393939395,0.003812250986979894,0.06409999999999982
A[6-2]x,Third pair,2,9,631.8881,0.2924595,0.7075405000000001,B,0.33558588888888885,0.008824784705307273,0.04591999999999992
A[6-2]x,Two pair+,10,138,16841.64400000001,0.02483141200603318,0.9751685879939668,B,0.02474565217391304,1.6738113001867416e-06,0.00018799923999921476
A[6-2]x,Second pair,9,75,4197.4057729999995,0.019822216049382717,0.9801777901234568,B,0.022501439999999998,5.673299549045096e-05,0.001586238220000169
A[6-2]x,Underpair,10,480,89762.4331,0.8215847128835978,0.17841527871693125,X,0.18281582499999996,0.000218535310372929,0.04578999999999951
A[6-2]x,Air + draw,9,64,3462.171468000001,0.03582794907407408,0.9641720648148149,B,0.0441379140625,0.00020126799276710115,0.0025998150599999548
A[6-2]x,Air,10,1252,156853.05025899975,0.5257198688064473,0.4742801390234647,X/B,0.25209930191693286,0.0019996560686742744,0.04100999999999999
BBB,Weak pair,4,204,24759.427200000006,0.11994013194444444,0.8800598437499999,B,0.1233321544117647,0.00018560911364031788,0.007076951470000026
BBB,A-high + draw,4,128,27223.930999999997,0.14093119531249998,0.8590687890625001,B,0.14093120312499996,1.0436733177548223e-05,0.0008469982899999451
BBB,Air,4,68,3178.822962999998,0.4020531541666666,0.5979468458333334,X/B,0.2025317647058823,0.0012862823994709718,0.006995792020000025
BBB,Top pair,4,144,26040.542200000004,0.20857945655270654,0.7914205434472935,B,0.22423945138888898,0.0007765809276936847,0.011215354250000331
BBB,Air + draw,4,44,2487.502781,0.2279368958333333,0.7720631041666667,B,0.1633732272727273,9.802399360412115e-05,0.06753000000000035
BBB,Two pair+,4,214,38638.24320000001,0.18749375551116684,0.8125062444888332,B,0.19069803738317753,0.00035884226654252764,0.07025999999999968
BBB,Third pair,4,99,15466.822438999994,0.43327027658730166,0.5667297234126984,X/B,0.2804009191919192,0.0018696859148066547,0.03554999999999993
BBB,Second pair,4,108,18991.19949999999,0.40258321296296296,0.5974167407407408,X/B,0.2971055138888889,0.002542219431994095,0.019279999999999832
BBB,Overpair,4,30,6384.019000000001,0.0023776458333333336,0.9976223125,B,0.002453783333333336,0.0,0.0
